iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"T","AT&T INC","Communication","Equity","124,410,640.51","0.28","124,410,640.51","5,010,497.00","24.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","123,481,760.71","0.28","123,481,760.71","1,471,247.00","83.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","122,861,700.60","0.28","122,861,700.60","383,703.00","320.20","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","120,541,618.46","0.27","120,541,618.46","3,011,282.00","40.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","119,661,074.26","0.27","119,661,074.26","860,314.00","139.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","118,932,121.86","0.27","118,932,121.86","3,119,122.00","38.13","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","117,796,387.80","0.27","117,796,387.80","108,849.00","1,082.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","115,928,032.80","0.26","115,928,032.80","1,217,220.00","95.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","115,378,100.77","0.26","115,378,100.77","797,857.00","144.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","114,677,160.00","0.26","114,677,160.00","23,214.00","4,940.00","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","113,376,116.85","0.26","113,376,116.85","95,005.00","1,193.37","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","112,119,292.98","0.25","112,119,292.98","194,946.00","575.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","109,725,450.24","0.25","109,725,450.24","446,474.00","245.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","108,703,569.50","0.25","108,703,569.50","218,975.00","496.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","105,586,487.84","0.24","105,586,487.84","888,476.00","118.84","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","105,439,554.19","0.24","105,439,554.19","170,083.00","619.93","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","105,329,961.78","0.24","105,329,961.78","1,053,089.00","100.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","104,500,485.45","0.24","104,500,485.45","279,585.00","373.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","104,054,381.60","0.24","104,054,381.60","648,112.00","160.55","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","100,571,334.24","0.23","100,571,334.24","516,784.00","194.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","99,505,197.19","0.23","99,505,197.19","468,734.00","212.29","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","99,253,519.30","0.22","99,253,519.30","303,574.00","326.95","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","99,044,500.50","0.22","99,044,500.50","735,570.00","134.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","98,923,421.80","0.22","98,923,421.80","4,049,260.00","24.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","97,720,804.42","0.22","97,720,804.42","448,631.00","217.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","95,563,218.42","0.22","95,563,218.42","455,193.00","209.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","94,502,858.24","0.21","94,502,858.24","426,688.00","221.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","94,096,980.15","0.21","94,096,980.15","174,315.00","539.81","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","93,227,393.88","0.21","93,227,393.88","399,843.00","233.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","90,756,099.00","0.21","90,756,099.00","477,036.00","190.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","90,723,261.20","0.21","90,723,261.20","417,560.00","217.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","88,119,812.34","0.20","88,119,812.34","454,062.00","194.07","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","87,441,324.03","0.20","87,441,324.03","245,601.00","356.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","84,382,269.80","0.19","84,382,269.80","915,209.00","92.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","83,198,444.80","0.19","83,198,444.80","662,408.00","125.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","81,593,335.17","0.18","81,593,335.17","174,423.00","467.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","80,817,945.60","0.18","80,817,945.60","353,720.00","228.48","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","80,123,101.96","0.18","80,123,101.96","223,564.00","358.39","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","78,446,129.35","0.18","78,446,129.35","903,445.00","86.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","77,373,772.74","0.18","77,373,772.74","91,674.00","844.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","76,412,099.25","0.17","76,412,099.25","265,735.00","287.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","76,376,643.55","0.17","76,376,643.55","89,645.00","851.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","76,223,586.36","0.17","76,223,586.36","522,294.00","145.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","75,202,850.73","0.17","75,202,850.73","183,659.00","409.47","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","73,688,100.48","0.17","73,688,100.48","289,928.00","254.16","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","71,795,121.84","0.16","71,795,121.84","785,161.00","91.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","71,404,532.15","0.16","71,404,532.15","2,610,769.00","27.35","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","70,954,324.00","0.16","70,954,324.00","256,616.00","276.50","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","70,587,122.79","0.16","70,587,122.79","893,621.00","78.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","69,873,806.94","0.16","69,873,806.94","1,204,098.00","58.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","69,408,993.09","0.16","69,408,993.09","811,137.00","85.57","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","69,175,876.00","0.16","69,175,876.00","159,208.00","434.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","68,903,733.40","0.16","68,903,733.40","528,565.00","130.36","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","68,755,578.30","0.16","68,755,578.30","556,005.00","123.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","68,353,277.15","0.15","68,353,277.15","149,129.00","458.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","67,809,147.63","0.15","67,809,147.63","1,452,327.00","46.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","67,740,419.46","0.15","67,740,419.46","109,806.00","616.91","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","67,119,336.00","0.15","67,119,336.00","324,248.00","207.00","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","65,307,128.67","0.15","65,307,128.67","783,153.00","83.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","63,450,520.25","0.14","63,450,520.25","352,405.00","180.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
